,CAAB,Class,Order,Family,Subfamily,Genus,Species,Global.Region,Australian.common.name,Marine.region,Length.measure,a,b,aLL,bLL,Source,Source_Level,Local.region,Feeding.guild,EPBC.Threat.Status,IUCN.Ranking,FB.Vulnerability,FB.countries,FB.Status,FB.Length_MAX,FB.LTypeMaxM,RLS.trophic.level,RLS.trophic.breadth,RLS.trophic.group,RLS.water.column,RLS.substrate.type,RLS.complexity,RLS.night.day,RLS.gregariousness,RLS.thermal.niche,RLS.vulnerability,Fishing.mortality,Fishing.type,Fishing.intensity,MinLegal.NT,MaxLegal.NT,Bag.NT,MinLegal.WA,MaxLegal.WA,Bag.WA,MinLegal.QLD,MaxLegal.QLD,Bag.QLD,MinLegal.NSW,MaxLegal.NSW,Bag.NSW,MinLegal.Vic,MaxLegal.Vic,Bag.Vic,MinLegal.SA,MaxLegal.SA,Bag.SA,MinLegal.Tas,MaxLegal.Tas,Bag.Tas
Contusus brevicaudus,37467044,Actinopterygii,Tetraodontiformes,Tetraodontidae,Tetraodontinae,Contusus,brevicaudus,Australia,Prickly toadfish,SE/SW,TL,0.02754,2.88,,,FishBase,LWR estimates for this (Sub)family-body shape,South-East/West/Southwest,,,Least Concern,22.28,Australia,native,250,TL,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,
Coradion altivelis,37365018,Actinopterygii,Perciformes,Chaetodontidae,,Coradion,altivelis,Australia,Highfin coralfish,CS/N/NW/TE,TL,0.02188,3.02,0,1,FishBase,LWR estimates for this (Sub)family-body shape,Ningaloo/Pilbara/SEQ,algae/invertebrate consumer,,Least Concern,13.79,Australia/Solomon.Islands/China/Indonesia/Japan/Korea.(Republic.of)/New.Caledonia/Vanuatu/Papua.New.Guinea/Philippines/Viet.Nam,native,180,TL,2.7,3.315789,benthic invertivore,Demersal,Hard bottom,High,Day,1,24.831,14,N,,,,,,,,,,,,,,,,,,,,,,,
Coradion chrysozonus,37365004,Actinopterygii,Perciformes,Chaetodontidae,,Coradion,chrysozonus,Australia,Orangebanded coralfish,CS/N/NW/TE,TL,0.0468,2.758,0,1,FishBase,Species specific,Ningaloo/Pilbara/SEQ,invertebrate carnivore,,Least Concern,11.53,Australia/Solomon.Islands/China/Hong.Kong/Indonesia/Japan/Malaysia/Palau/Papua.New.Guinea/Philippines/Viet.Nam/Thailand/Tonga,native,200,TL,2.8,3.315789,benthic invertivore,Demersal,Hard bottom,High,Day,1,26.0466,12,N,,,,,,,,,,,,,,,,,,,,,,,
Coris auricularis,37384088,Actinopterygii,Perciformes,Labridae,Corinae,Coris,auricularis,Australia,Western King wrasse,NW/SW,TL,0.01,3.06,0,1,FishBase,LWR estimates for this (Sub)family-body shape,West/Southwest/Ningaloo/Pilbara/West/Southwest/Ningaloo/Pilbara,,,Least Concern,50.24,Australia,endemic,400,TL,3.4,3,benthic invertivore,Demersal,Hard bottom,Low,Day,2,20.79165,44,Y,B,,,,,,,Y,300,,,,,,,,,,,,,,
Coris aurilineata,37384089,Actinopterygii,Perciformes,Labridae,Corinae,Coris,aurilineata,Australia,Goldlined wrasse,CS/TE,TL,0.01,3.06,,,FishBase,LWR estimates for this (Sub)family-body shape,,,,Least Concern,23.67,Australia/Viet.Nam,native,140,TL,3.3,3,benthic invertivore,Demersal,Hard bottom,Low,Day,1,23.381,24,N,,,,,,,,,,,,,,,,,,,,,,,
Coris aygula,37384090,Actinopterygii,Perciformes,Labridae,Corinae,Coris,aygula,Australia,Redblotched wrasse,CS/N/NW/TE,FL,0.00266,3.48857,0,1,FishBase,Species specific,Ningaloo/Pilbara/Timor/Negros/NSW,zooplanktivore,,Least Concern,72.31,"American.Samoa/Australia/Sri.Lanka/China/Christmas.Island/Cocos.(Keeling).Islands/Cook.Islands/Fiji/French.Polynesia/Kiribati/Guam/India/Indonesia/Israel/Japan/Jordan/Kenya/Maldives/Mauritius/Mozambique/Oman/New.Caledonia/Vanuatu/Niue/Northern.Mariana.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Papua.New.Guinea/Philippines/Pitcairn/R̩union/Seychelles/Somalia/South.Africa/Tonga/Egypt/Tanzania,.United.Republic.of/Samoa/Yemen",native,1200,TL,3.4,2,benthic invertivore,Demersal,Hard bottom,Low,Day,2,24.99502,73,N,,,,,,,,Y,300,,,,,,,,,,,,,,
Coris batuensis,37384098,Actinopterygii,Perciformes,Labridae,Corinae,Coris,batuensis,Philippines/Australia,Variegated wrasse,CS/N/TE/NW,TL,0.01,3.06,0,1,FishBase,LWR estimates for this (Sub)family-body shape,Negros/SEQ,invertebrate carnivore,,Least Concern,25.85,Australia/Fiji/Guam/Indonesia/Japan/Maldives/New.Caledonia/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Papua.New.Guinea/Philippines/Tonga,native,170,TL,3.4,4,benthic invertivore,Demersal,Hard bottom,Low,Day,1,26.33986,27,N,,,,,,,,Y,,,,,,,,,,,,,,,
Coris bulbifrons,37384091,Actinopterygii,Perciformes,Labridae,Corinae,Coris,bulbifrons,Australia,Doubleheader,TE,TL,0.01,3.06,0,1,FishBase,LWR estimates for this (Sub)family-body shape,,,,Vulnerable,56.84,Australia/Norfolk.Island,native,600,TL,3.3,3,benthic invertivore,Demersal,Hard bottom,Low,Day,1,21.87444,58,Y,B/C/R,,,,,,,,,,,,,,,,,,,,,,
Coris caudimacula,37384092,Actinopterygii,Perciformes,Labridae,Corinae,Coris,caudimacula,Australia,Spot-tail wrasse,NW,TL,0.01,3.06,0,1,FishBase,LWR estimates for this (Sub)family-body shape,Ningaloo/Pilbara/Timor,invertebrate carnivore,,Least Concern,28.6,"Australia/Comoros/Indonesia/Israel/Jordan/Kenya/Madagascar/Mauritius/Mozambique/Oman/Papua.New.Guinea/R̩union/Saudi.Arabia/Seychelles/Somalia/South.Africa/Egypt/Tanzania,.United.Republic.of",native,200,TL,3.4,3,benthic invertivore,Demersal,Hard bottom,Low,Day,1,24.48806,30,N,,,,,,,,Y,,,,,,,,,,,,,,,
Coris dorsomacula,37384093,Actinopterygii,Perciformes,Labridae,Corinae,Coris,dorsomacula,Australia,Pinklined wrasse,CS/NW/TE/Lord.Howe.Island/Cocos.Keeling/Christmas.Island/NW/SW,TL,0.01,3.06,0,1,FishBase,LWR estimates for this (Sub)family-body shape,Ningaloo/Pilbara/Negros/NSW/PSGLMP,invertebrate carnivore/invertebrate carnivore,,Least Concern,37.49,Australia/Solomon.Islands/Brunei.Darussalam/Christmas.Island/Cocos.(Keeling).Islands/Fiji/Indonesia/Japan/Malaysia/New.Caledonia/New.Zealand/Palau/Papua.New.Guinea/Philippines/Tonga,native,380,TL,3.3,3,benthic invertivore,Demersal,Hard bottom,Low,Day,1,22.75206,30,N,,,,,,,,Y,300,,,,,,,,,,,,,,
Coris gaimard,37384094,Actinopterygii,Perciformes,Labridae,Corinae,Coris,gaimard,Australia,Clown wrasse,NW/CS/TE,TL,0.0109,3,0,1,FishBase,Species specific,Ningaloo/Pilbara/Timor,invertebrate carnivore,,Least Concern,38.07,American.Samoa/Australia/Solomon.Islands/China/Christmas.Island/Cocos.(Keeling).Islands/Cook.Islands/Fiji/French.Polynesia/Kiribati/Guam/Indonesia/Japan/Malaysia/New.Caledonia/Vanuatu/Niue/Northern.Mariana.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Papua.New.Guinea/Philippines/Viet.Nam/Thailand/Tonga/Samoa,native,400,TL,3.5,4,benthic invertivore,Demersal,Hard bottom,Low,Day,1,26.27434,41,N,,,,,,,,Y,300,,,,,,,,,,,,,,
Coris picta,37384095,Actinopterygii,Perciformes,Labridae,Corinae,Coris,picta,Australia,Comb wrasse,TE/CS/SE,TL,0.0049,3.11,0,1,FishBase,LWR estimates for this (Sub)family-body shape,NSW/PSGLMP,invertebrate carnivore,,Least Concern,31.66,Australia/Japan/New.Caledonia/New.Zealand/Norfolk.Island,native,250,TL,3.3,3,benthic invertivore,Demersal,Hard bottom,Low,Day,2,20.42988,33,N,,,,,,,,Y,300,,,,,,,,,,,,,,
Coris pictoides,37384096,Actinopterygii,Perciformes,Labridae,Corinae,Coris,pictoides,Australia,Pixy wrasse,CS/N/NW/SW,TL,0.01,3.06,0,1,FishBase,LWR estimates for this (Sub)family-body shape,Ningaloo/Pilbara/NA,invertebrate carnivore,,Least Concern,24.31,Australia/Indonesia/Malaysia/Philippines,native,150,TL,3.3,3,benthic invertivore,Demersal,Hard bottom,Low,Day,1,23.986,25,N,,,,,,,,Y,300,,,,,,,,,,,,,,
Coris sandeyeri,37384097,Actinopterygii,Perciformes,Labridae,Corinae,Coris,sandeyeri,Australia,Eastern King wrasse,TE/Lord.Howe.Island/Norfolk.Island,TL,0.01,3.06,0,1,FishBase,LWR estimates for this (Sub)family-body shape,NSW/PSGLMP,invertebrate carnivore,,Least Concern,31.66,Australia/New.Caledonia/New.Zealand/Norfolk.Island,native,450,FL,3.5,4,benthic invertivore,Demersal,Hard bottom,Low,Day,2,19.6432,33,N,,,,,,,,Y,,,,,,,,,,,,,,,
Crapatalus munroi,37398002,Actinopterygii,Perciformes,Leptoscopidae,,Crapatalus,munroi,Australia,Pink sandfish,SW,TL,0.01,3.04,,,FishBase,LWR estimates for this body shape,West/Southwest,,,,10,Australia,native,120,TL,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,
Crenimugil crenilabis,37381012,Actinopterygii,Mugiliformes,Mugilidae,,Crenimugil,crenilabis,Australia,Wartylip mullet,CS/Cocos.Keeling/Lord.Howe.Island,SL,0.0368,2.86,,,FishBase,Species specific,,,,Least Concern,51.36,"American.Samoa/Australia/Cambodia/China/Christmas.Island/Cocos.(Keeling).Islands/Cook.Islands/Fiji/French.Polynesia/Kiribati/Guam/Hong.Kong/India/Indonesia/Japan/Jordan/Madagascar/Maldives/Mauritius/Mozambique/Oman/New.Caledonia/Vanuatu/Niue/Northern.Mariana.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Papua.New.Guinea/Philippines/R̩union/Seychelles/Viet.Nam/Somalia/South.Africa/Thailand/Tonga/Egypt/Tanzania,.United.Republic.of/Wallis.and.Futuna/Samoa/Yemen",native,600,TL,2.3,2.8,Browsing herbivore,pelagic site attached,Soft sediment,Medium,Day,3,26.793,49,Y,B/C/R,,,,,,,,,,,,,,,,,,,,,,
Crossorhombus howensis,37460058,Actinopterygii,Bothidae,Bothidae,,Crossorhombus,howensis,Australia,Lord Howe flounder,SW,TL,0.01023,3,,,FishBase,LWR estimates for this (Sub)family-body shape,West/Southwest,,,,26.76,Australia,native,130,TL,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,
Cryptocentrus cinctus,37428098,Actinopterygii,Perciformes,Gobiidae,,Cryptocentrus,cinctus,Australia,Yellow shrimpgoby,NW/N/CS,TL,0.00617,3.08,0,1,FishBase,LWR estimates for this (Sub)family-body shape,,,,,25.83,Australia/Cambodia/Indonesia/Japan/Micronesia.(Federated.States.of)/Palau/Papua.New.Guinea/Philippines/Singapore/Viet.Nam,native,100,SL,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,
Ctenochaetus binotatus,37437021,Actinopterygii,Perciformes,Acanthuridae,Acanthurinae,Ctenochaetus,binotatus,Indonesia/Philippines/Australia,Twospot bristletooth,NW/CS,FL,0.03916,2.87463,0,1,FishBase,Species specific,Timor/Negros,herbivore,,Least Concern,22.47,"American.Samoa/Australia/Solomon.Islands/Sri.Lanka/Cocos.(Keeling).Islands/Comoros/Fiji/French.Polynesia/Kiribati/Guam/Hong.Kong/Indonesia/Japan/Kenya/Madagascar/Malaysia/Maldives/Mauritius/Mozambique/New.Caledonia/Vanuatu/Norfolk.Island/Northern.Mariana.Islands/United.States.Minor.Outlying.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Papua.New.Guinea/Philippines/Seychelles/Viet.Nam/South.Africa/Tonga/Tuvalu/Tanzania,.United.Republic.of/Samoa",native,220,TL,2,2,Browsing herbivore,Demersal,Hard bottom,Low,Day,2,26.11084,24,N,,,,,,,,,,,,,,,,,,,,,,,
Ctenochaetus cyanocheilus,37437023,Actinopterygii,Perciformes,Acanthuridae,Acanthurinae,Ctenochaetus,cyanocheilus,Philippines/Australia,Yelloweye bristletooth,NW/CS/Cocos.Keeling,TL,0.02344,2.97,0,1.040486,FishBase,LWR estimates for this (Sub)family-body shape,Negros,herbivore,,Least Concern,20.48,Australia/Fiji/Kiribati/Indonesia/Malaysia/New.Caledonia/Northern.Mariana.Islands/United.States.Minor.Outlying.Islands/Marshall.Islands/Palau/Papua.New.Guinea/Philippines/Tonga/Tuvalu/Samoa,native,160,SL,2.1,2,Browsing herbivore,Demersal,Hard bottom,Low,Day,2,26.39005,22,N,,,,,,,,,,,,,,,,,,,,,,,
Ctenochaetus striatus,37437022,Actinopterygii,Perciformes,Acanthuridae,Acanthurinae,Ctenochaetus,striatus,Australia,Lined bristletooth,CS/N/NW/TE,FL,0.0254,3.027,0,1,FishBase,Species specific,Ningaloo/Pilbara/Timor/Negros/SEQ,herbivore,,Least Concern,18.05,"American.Samoa/Australia/Solomon.Islands/Sri.Lanka/China/Christmas.Island/Cocos.(Keeling).Islands/Comoros/Cook.Islands/Fiji/French.Polynesia/Kiribati/Guam/India/Indonesia/Japan/Jordan/Kenya/Madagascar/Maldives/Mauritius/Mozambique/Oman/New.Caledonia/Vanuatu/Niue/Northern.Mariana.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Papua.New.Guinea/Philippines/Pitcairn/R̩union/Seychelles/Viet.Nam/Somalia/South.Africa/Tonga/Tuvalu/Egypt/Tanzania,.United.Republic.of/Wallis.and.Futuna/Samoa/Yemen",native,260,TL,2,2,Browsing herbivore,Demersal,Hard bottom,Low,Day,2,26.1251,17,N,,,,,,,,,,,,,,,,,,,,,,,
Ctenochaetus truncatus,37437055,Actinopterygii,Perciformes,Acanthuridae,Acanthurinae,Ctenochaetus,truncatus,Australia,Indian gold-ring bristletooth,Cocos.Keeling/Christmas.Island,TL,0.02344,2.97,,,FishBase,LWR estimates for this (Sub)family-body shape,,,,Least Concern,20.48,"Australia/Myanmar/Sri.Lanka/Christmas.Island/Cocos.(Keeling).Islands/Comoros/India/Indonesia/Kenya/Madagascar/Maldives/Mauritius/Mozambique/Oman/R̩union/Seychelles/South.Africa/Thailand/Tanzania,.United.Republic.of",native,160,SL,2.1,2,Browsing herbivore,Demersal,Hard bottom,Low,Day,2,,22,N,,,,,,,,,,,,,,,,,,,,,,,
Cybiosarda elegans,37441008,Actinopterygii,Perciformes,Scombridae,Scombrinae,Cybiosarda,elegans,Australia,Leaping bonito,NW/SW/N/CS/TE/Lord.Howe.Island/SE/TE,FL,0.0134,3,0,1,FishBase,Species specific,Ningaloo/Pilbara,generalist carnivore,,Least Concern,28.98,Australia/Papua.New.Guinea,native,450,FL,4,2.62963,higher carnivore,pelagic non-site attached,Hard bottom,Low,Day,3,21.466,28,Y,B/C/R,,,,,,,,,,,,,,,,,,,,,,
Cymbacephalus nematophthalmus,37296023,Actinopterygii,Scorpaeniformes,Platycephalidae,,Cymbacephalus,nematophthalmus,Australia,Fringe-eye flathead,NW/N/CS/TE,TL,0.00513,3.04,0,1,FishBase,LWR estimates for this (Sub)family-body shape,,,,,40.63,Australia/Solomon.Islands/Brunei.Darussalam/Indonesia/Malaysia/New.Caledonia/Papua.New.Guinea/Philippines/Timor-Leste/Singapore/Thailand,native,580,TL,,,,,,,,,,,Y,B/R,,,,,,,,,,,,,,,,,,,,,,
Cymolutes praetextatus,37384099,Actinopterygii,Perciformes,Labridae,Cheilininae,Cymolutes,praetextatus,Australia,Knife wrasse,N/CS,TL,0.00389,3.12,0,1,FishBase,LWR estimates for this body shape,,,,Least Concern,34.69,"American.Samoa/Australia/Cocos.(Keeling).Islands/Cook.Islands/French.Polynesia/Guam/Indonesia/Maldives/Mozambique/New.Caledonia/Norfolk.Island/Northern.Mariana.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Philippines/R̩union/South.Africa/Tonga/Tanzania,.United.Republic.of/Samoa",native,200,SL,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,
Cymolutes torquatus,37384100,Actinopterygii,Perciformes,Labridae,Cheilininae,Cymolutes,torquatus,Australia,Razor wrasse,CS/TE/Lord.Howe.Island,TL,0.00389,3.12,0,1,FishBase,LWR estimates for this body shape,Ningaloo/Pilbara,invertebrate carnivore,,Least Concern,28.6,Australia/French.Polynesia/Indonesia/Japan/Kenya/Mozambique/New.Caledonia/Northern.Mariana.Islands/Marshall.Islands/Papua.New.Guinea/Philippines/Seychelles,native,200,TL,,,,,,,,,,,N,,,,,,,,Y,,,,,,,,,,,,,,,
Cynoglossus broadhursti,37463015,Actinopterygii,Pleuronectiformes,Cynoglossidae,Cynoglossinae,Cynoglossus,broadhursti,Australia,Southern tongue sole,SW,TL,0.00389,3.09,,,FishBase,LWR estimates for this Genus-body shape,West/Southwest,,,,28.55,Australia,native,245,TL,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,
Cynoglossus maccullochi,37463024,Actinopterygii,Pleuronectiformes,Cynoglossidae,Cynoglossinae,Cynoglossus,maccullochi,Australia,McCulloch's tongue sole,SW,TL,0.00389,3.09,,,FishBase,LWR estimates for this Genus-body shape,West/Southwest,,,Data Deficient,41.57,Australia,native,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,
Cyprinocirrhites polyactis,37374006,Actinopterygii,Perciformes,Cirrhitidae,,Cyprinocirrhites,polyactis,Australia,Lyretail hawkfish,NW/TE,TL,0.01585,3.01,0,1.10039,FishBase,LWR estimates for this (Sub)family-body shape,Ningaloo/Pilbara/Timor/SEQ,zooplanktivore,,Least Concern,10,"Australia/China/Fiji/Indonesia/Japan/Madagascar/Maldives/Mauritius/New.Caledonia/New.Zealand/Micronesia.(Federated.States.of)/Palau/Papua.New.Guinea/Philippines/R̩union/Seychelles/Viet.Nam/South.Africa/Tonga/Tanzania,.United.Republic.of",native,150,TL,3.2,2.75,benthic invertivore,benthic,Hard bottom,Medium,Day,1,24.51275,10,N,,,,,,,,,,,,,,,,,,,,,,,
Cypselurus angusticeps,37233024,Actinopterygii,Beloniformes,Exocoetidae,,Cypselurus,angusticeps,Australia,Narrowhead flyingfish,NW,TL,0.00417,3.12,0,1.172043,FishBase,LWR estimates for this (Sub)family-body shape,,,,,16.29,American.Samoa/Australia/Ecuador/Fiji/French.Polynesia/Guam/Japan/Mexico/New.Caledonia/Papua.New.Guinea/Samoa,native,240,SL,,,,,,,,,,,Y,C,,,,,,,,,,,,,,,,,,,,,,
Cyttus australis,37264002,Actinopterygii,Zeiformes,Cyttidae,,Cyttus,australis,Australia,Silver dory,SE/TE,TL,0.01995,3,0,1,FishBase,LWR estimates for this (Sub)family-body shape,South-East/NSW,invertebrate carnivore,,,30.72,Australia,native,410,TL,,,,,,,,,,,Y,C/R,,,,,,,,,,,,,,,,,,,,,,
Dactylophora nigricans,37377005,Actinopterygii,Perciformes,Cheilodactylidae,,Dactylophora,nigricans,Australia,Dusky morwong,SE/SW,TL,0.00389,3.12,0,1.08333,FishBase,LWR estimates for this body shape,South-East/West/Southwest,benthic invertivore/algae/invertebrate consumer,,,73.21,Australia,native,1200,TL,2.9,4,benthic invertivore,Demersal,Hard bottom,Medium,Day,1,17.42956,73,Y,B/C/R,,,,,,,,,,,,,,230,,Y,,,,,,
Dannevigia tusca,37228001,Actinopterygii,Ophidiiformes,Ophidiidae,Neobythitinae,Dannevigia,tusca,Australia,Tusk,SW,TL,0.00102,3.06,,,FishBase,LWR estimates for this body shape,West/Southwest,,,,45.88,Australia,endemic,560,TL,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,
Dascyllus aruanus,37372073,Actinopterygii,Perciformes,Pomacentridae,Pomacentrinae,Dascyllus,aruanus,Australia,Banded humbug,NW,FL,0.0716,2.635,0,1,FishBase,Species specific,Ningaloo,zooplanktivore,,,26.39,"Cocos.(Keeling).Islands/Cook.Islands/Fiji/French.Polynesia/Djibouti/Kiribati/Guam/India/Indonesia/Japan/Jordan/Kenya/Madagascar/Maldives/Mauritius/Mozambique/New.Caledonia/Vanuatu/Northern.Mariana.Islands/United.States.Minor.Outlying.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Papua.New.Guinea/Australia/Solomon.Islands/Sri.Lanka/China/Philippines/R̩union/Saudi.Arabia/Seychelles/Viet.Nam/South.Africa/Thailand/Tonga/Egypt/Tanzania,.United.Republic.of/Samoa",native,100,TL,2.5,5,Browsing herbivore,Demersal,Hard bottom,Medium,Day,3,24.95623,26,N,,,,,,,,,,,,,,,,,,,,,,,
Dascyllus melanurus,37372009,Actinopterygii,Perciformes,Pomacentridae,Pomacentrinae,Dascyllus,melanurus,Australia,Blacktail humbug,NW/CS,TL,0.02239,2.99,0,1.04158,FishBase,LWR estimates for this (Sub)family-body shape,West/Southwest,,,,16.21,Australia/Solomon.Islands/Indonesia/Japan/Korea.(Republic.of)/New.Caledonia/Vanuatu/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Papua.New.Guinea/Philippines/Viet.Nam/Tonga,native,80,TL,3,4.5,planktivore,Demersal,Hard bottom,Medium,Day,2,26.837,16,N,,,,,,,,,,,,,,,,,,,,,,,
Dascyllus reticulatus,37372074,Actinopterygii,Perciformes,Pomacentridae,Pomacentrinae,Dascyllus,reticulatus,Australia,Headband humbug,NW/TE/SW/N/Christmas.Island/Cocos.Keeling/CS/Lord.Howe.Island,FL,0.03111,3.13271,0,1,FishBase,Species specific,Ningaloo/Pilbara/Timor/Negros/SEQ,zooplanktivore,,,24.77,Australia/Solomon.Islands/Christmas.Island/Cocos.(Keeling).Islands/Cook.Islands/French.Polynesia/Kiribati/Guam/Indonesia/Japan/New.Caledonia/Vanuatu/Northern.Mariana.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Papua.New.Guinea/Philippines/Viet.Nam/Thailand/Tonga/Samoa,native,90,TL,3.1,4.5,planktivore,Demersal,Hard bottom,Medium,Day,3,25.32139,25,N,,,,,,,,,,,,,,,,,,,,,,,
Dascyllus trimaculatus,37372075,Actinopterygii,Perciformes,Pomacentridae,Pomacentrinae,Dascyllus,trimaculatus,Australia,Threespot humbug,CS/N/NW/TE/SW/Christmas.Island/Cocos.Keeling/CS/Lord.Howe.Island,FL,0.03132,3.04325,0,1,FishBase,Species specific,Ningaloo/Pilbara/Timor/Negros/SEQ,zooplanktivore,,,25.07,"Australia/Bahrain/Solomon.Islands/Myanmar/Cambodia/Sri.Lanka/China/Christmas.Island/Cocos.(Keeling).Islands/Comoros/Cook.Islands/Fiji/French.Polynesia/Djibouti/Kiribati/Guam/India/Indonesia/Japan/Jordan/Kenya/Korea.(Republic.of)/Kuwait/Madagascar/Malaysia/Maldives/Mauritius/Mozambique/Oman/New.Caledonia/Vanuatu/Niue/Northern.Mariana.Islands/United.States.Minor.Outlying.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Papua.New.Guinea/Philippines/Pitcairn/Qatar/R̩union/Saudi.Arabia/Seychelles/Viet.Nam/Somalia/South.Africa/Thailand/Tonga/United.Arab.Emirates/Egypt/Tanzania,.United.Republic.of/Samoa/Yemen",native,140,TL,2.8,4.5,planktivore,Demersal,Hard bottom,Medium,Day,3,24.05019,26,N,,,,,,,,,,,,,,,,,,,,,,,
Dasyatis thetidis,37035002,Elasmobranchii,Myliobatiformes,Dasyatidae,,Dasyatis,thetidis,Australia,Black stingray,NW/SE/SW/TE,TL,0.0203,3,0,1,FishBase,Species specific,South-East/West/Southwest/NSW,invertebrate carnivore,,,82.94,Australia/Malaysia/Mozambique/New.Zealand/Norfolk.Island/R̩union/South.Africa,native,4000,TL,3.5,3.75,benthic invertivore,benthic,Hard bottom,Low,Day,1,18.71095,83,Y,B,,,,,,,,,,,,,,,,,,,,,,
Deania quadrispinosa,37020004,Elasmobranchii,Squaliformes,Centrophoridae,,Deania,quadrispinosa,Australia,Longsnout dogfish,NW/SW/SE/TE/CS,TL,0.00275,3.16,0,1.08077,FishBase,LWR estimates for this (Sub)family-body shape,,,,Near Threatened,72.29,Australia/Mozambique/Namibia/New.Zealand/South.Africa,native,1150,TL,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,
Decapterus macarellus,37337055,Actinopterygii,Perciformes,Carangidae,Caranginae,Decapterus,macarellus,Australia,mackerel scad,NW/SW,TL,0.00783,3.14,0,1.08791,FishBase,Species specific,West/Southwest/Ningaloo/Pilbara/Timor/West/Southwest/Ningaloo/Pilbara/Timor,,,Least Concern,19.87,"Grenada/Guadeloupe/Guam/Guatemala/Guyana/Haiti/Honduras/India/Indonesia/Jamaica/Japan/Jordan/Korea.(Republic.of)/Kuwait/Malaysia/Maldives/Martinique/Mauritius/Mexico/Montserrat/Oman/Cura̤ao/Aruba/New.Caledonia/Nicaragua/Micronesia.(Federated.States.of)/American.Samoa/Antigua.and.Barbuda/Australia/Bahamas/Bahrain/Barbados/Bermuda/Brazil/Belize/Virgin.Islands.(British)/Canada/Cabo.Verde/Cayman.Islands/Sri.Lanka/Christmas.Island/Cocos.(Keeling).Islands/Colombia/Mayotte/Cook.Islands/Costa.Rica/Cuba/Dominica/Dominican.Republic/Ecuador/French.Guiana/French.Polynesia/Palau/Panama/Papua.New.Guinea/Philippines/Puerto.Rico/Qatar/R̩union/Saint.Helena,.Ascension.and.Tristan.da.Cunha/Saint.Kitts.and.Nevis/Anguilla/Saint.Lucia/Saint.Vincent.and.the.Grenadines/Sao.Tome.and.Principe/Saudi.Arabia/Seychelles/Somalia/South.Africa/Suriname/Tonga/Trinidad.and.Tobago/United.Arab.Emirates/Egypt/Tanzania,.United.Republic.of/United.States.of.America/Virgin.Islands.(U.S.)/Venezuela.(Bolivarian.Republic.of)/Samoa/Yemen",native,460,TL,3.4,1,higher carnivore,pelagic non-site attached,Hard bottom,Low,Day,3,23.72,23,Y,B,,,,,,,Y,,,,,,,,,,,,,,,
Decapterus muroadsi,37337071,Actinopterygii,Perciformes,Carangidae,Caranginae,Decapterus,muroadsi,Australia,Temperate scad,SW/TE/SE/Lord.Howe.Island/NW,TL,0.01094,3,0,1.074995,FishBase,Species specific,Ningaloo/Pilbara/Timor,invertebrate carnivore,,Least Concern,39.89,"Australia/Colombia/Costa.Rica/Ecuador/El.Salvador/Guatemala/Honduras/Hong.Kong/Japan/Korea.(Republic.of)/Mexico/New.Caledonia/New.Zealand/Nicaragua/Panama/Philippines/Saint.Helena,.Ascension.and.Tristan.da.Cunha/Thailand/United.States.of.America",native,500,FL,3.4,2,planktivore,pelagic non-site attached,Hard bottom,Low,Day,3,20.0715,39,Y,B,,,,,,,Y,,,,,,,,,,,,,,,
Decapterus russelli,37337023,Actinopterygii,Perciformes,Carangidae,Caranginae,Decapterus,russelli,Australia,Indian scad,NW/N/CS/TE,FL,0.0146,2.948,0,1,FishBase,Species specific,West/Southwest,,,Least Concern,23.83,"Australia/Bahrain/Bangladesh/Brunei.Darussalam/Myanmar/Cambodia/Sri.Lanka/China/Comoros/Mayotte/Djibouti/Hong.Kong/India/Indonesia/Iran.(Islamic.Republic.of)/Iraq/Israel/Japan/Jordan/Kenya/Kuwait/Madagascar/Malaysia/Maldives/Mauritius/Mozambique/Oman/New.Caledonia/Micronesia.(Federated.States.of)/Palau/Pakistan/Papua.New.Guinea/Philippines/Qatar/R̩union/Saudi.Arabia/Seychelles/Singapore/Viet.Nam/Somalia/South.Africa/Thailand/United.Arab.Emirates/Egypt/Tanzania,.United.Republic.of/Yemen",native,450,TL,,,,,,,,,,,Y,B,,,,,,,Y,,,,,,,,,,,,,,,
